Name,Count,Rank
Memorial Sloan,15412,1
MGH,11372,2
Stanford,8464,3
BJC Healthcare,7745,4
U Pennsylvania,7372,5
Ohio State,6659,6
Moffitt,5564,7
Brigham & Women,5430,8
Mt Sinai,5307,9
U of Michigan,4614,10
Loyola,4423,11
Boston Childrens,4343,12
Geisinger,4045,13
Yale,3919,14
Lahey,3918,15
CHOP,3873,16
Jefferson University Physicians,3861,17
Froedtert,3826,18
BIDMC,3669,19
U Rochester Med Ctr,3318,20
MUSC,3149,21
UW Medical Ctr (Washington State),3111,22
UCLA,2698,23
U Mississippi Med Ctr,2562,24
Stony Brook,2339,25
Lifespan,2308,26
NYPH,2245,27
Weill Cornell,1977,28
U New Mexico,1903,29
Nebraska,1832,30
Georgetown,1775,31
Henry Ford,1639,32
Tufts,1431,33
Dartmouth Hitchcock,1417,34
Shands JAX (U of Florida),1411,35
U Maryland Med Sys,1394,36
Northwestern,1322,37
Temple University Hospital,1197,38
U Mass Memorial Health Care,1152,39
Northshore,1078,40
Cook,1070,41
CHLA,1052,42
OLOL,1043,43
Sarasota,981,44
BMC,976,45
Continuum,907,46
Children\'s National Med Ctr,900,47
Montefiore,892,48
Rutland Regional Med Ctr,855,49
UC Irvine Med Ctr,849,50
Baystate,802,51
Fox Chase,798,52
MD Anderson,648,53
Baylor Health Care System,574,54
NOTS,494,55
Union Memorial Hospital,461,56
University Health System,456,57
Methodist Le Bonheur Healthcare,445,58
Integris,435,59
Westchester Med Ctr,434,60
Jefferson Radiology,419,61
Valley Health – Virginia,395,62
Alamance,319,63
Fletcher Allen,274,64
Washington Hospital Center (D.C),266,65
Saint Francis,143,66
Intermountain Healthcare,83,67
University Medical Ctr (demo),76,68
NYU,63,69
Carecore,38,70
Valley Baptist - Texas,24,71
Clinical Demo,4,72
Turville Bay,1,73
