Metric,Count,
Memorial Sloan,12171,1
MGH,11266,2
Stanford,10999,3
BJC Healthcare,10098,4
UW Medical Ctr (Washington State),9275,5
U of Michigan,8369,6
U Pennsylvania,8062,7
Froedtert,7368,8
MD Anderson,7359,9
Ohio State,7339,10
Moffitt,6857,11
Brigham & Women,6519,12
Yale,5001,13
Mt Sinai,4925,14
Boston Childrens,4425,15
MUSC,4241,16
Loyola,4188,17
Geisinger,4182,18
Lahey,4121,19
NYPH,4091,20
UCLA,3992,21
CHOP,3651,22
Jefferson University Physicians,3558,23
U New Mexico,3416,24
BIDMC,3282,25
U Rochester Med Ctr,3264,26
U Mississippi Med Ctr,2911,27
Fox Chase,2735,28
Stony Brook,2379,29
Georgetown,2277,30
Henry Ford,2133,31
Northwestern,1933,32
Lifespan,1853,33
Shands JAX (U of Florida),1792,34
Nebraska,1778,35
Tufts,1598,36
Dartmouth Hitchcock,1583,37
UC Irvine Med Ctr,1311,38
NYU,1216,39
Temple University Hospital,1201,40
U Maryland Med Sys,1147,41
Weill Cornell,1117,42
Cook,1067,43
Northshore,1052,44
Continuum,1000,45
Children\'s National Med Ctr,996,46
Sarasota,949,47
BMC,920,48
CHLA,919,49
Rutland Regional Med Ctr,863,50
U Mass Memorial Health Care,851,51
Montefiore,840,52
Baystate,816,53
Baylor Health Care System,815,54
OLOL,775,55
Union Memorial Hospital,599,56
NOTS,574,57
Valley Health – Virginia,477,58
Turville Bay,411,59
Integris,384,60
Methodist Le Bonheur Healthcare,342,61
University Health System,334,62
Jefferson Radiology,319,63
Washington Hospital Center (D.C),269,64
Fletcher Allen,253,65
Alamance,212,66
Westchester Med Ctr,199,67
Saint Francis,149,68
Intermountain Healthcare,101,69
Carecore,78,70
University Medical Ctr (demo),42,71
Clinical Demo,30,72
Biogen Idec,20,73
Hendrick Medical Center,5,74
Nationwide Childrens – Ohio,4,75
WIITTS,2,76
University of Kentucky,1,77
